Opex item,Value basis,Base year,Applicant comment,Year,Cost
Operations,Real,2025,,2026,90000.0
Operations,Real,2025,,2027,90000.0
Operations,Real,2025,,2028,90000.0
Operations,Real,2025,,2029,90000.0
Operations,Real,2025,,2030,90000.0
Operations,Real,2025,,2031,90000.0
Operations,Real,2025,,2032,90000.0
Operations,Real,2025,,2033,90000.0
Operations,Real,2025,,2034,90000.0
Operations,Real,2025,,2035,90000.0
Operations,Real,2025,,2036,90000.0
Operations,Real,2025,,2037,90000.0
Operations,Real,2025,,2038,90000.0
Operations,Real,2025,,2039,90000.0
Operations,Real,2025,,2040,90000.0
Operations,Real,2025,,2041,90000.0
Operations,Real,2025,,2042,90000.0
Operations,Real,2025,,2043,90000.0
Operations,Real,2025,,2044,90000.0
Operations,Real,2025,,2045,90000.0
Operations,Real,2025,,2046,90000.0
Operations,Real,2025,,2047,90000.0
Operations,Real,2025,,2048,90000.0
Operations,Real,2025,,2049,90000.0
Operations,Real,2025,,2050,90000.0
