ProjectId,LifeCycleMonths,Capex item,Scenario,Value basis,Base year,Applicant comment,ExpenseType,Year,Cost
CL-001,36,Equipment purchase,PP,Real,2025,EV,capex,2025,0.0
CL-001,36,Civil works,PP,Real,2025,Drive,capex,2025,0.0
CL-001,36,Electrical works,PP,Real,2025,Wiring,capex,2025,0.0
CL-001,36,Installation,PP,Real,2025,Gate,capex,2025,0.0
CL-001,36,Indirect costs,PP,Real,2025,,capex,2025,0.0
CL-001,36,Project management,PP,Real,2025,,capex,2025,0.0
CL-001,36,Other,PP,Real,2025,,capex,2025,0.0
CL-001,36,Equipment purchase,PP,Real,2025,EV,capex,2026,42332.94651924516
CL-001,36,Civil works,PP,Real,2025,Drive,capex,2026,21166.47325962258
CL-001,36,Electrical works,PP,Real,2025,Wiring,capex,2026,5291.618314905645
CL-001,36,Installation,PP,Real,2025,Gate,capex,2026,5291.618314905645
CL-001,36,Indirect costs,PP,Real,2025,,capex,2026,0.0
CL-001,36,Project management,PP,Real,2025,,capex,2026,0.0
CL-001,36,Other,PP,Real,2025,,capex,2026,0.0
CL-001,36,Equipment purchase,PP,Real,2025,EV,capex,2027,0.0
CL-001,36,Civil works,PP,Real,2025,Drive,capex,2027,0.0
CL-001,36,Electrical works,PP,Real,2025,Wiring,capex,2027,0.0
CL-001,36,Installation,PP,Real,2025,Gate,capex,2027,0.0
CL-001,36,Indirect costs,PP,Real,2025,,capex,2027,0.0
CL-001,36,Project management,PP,Real,2025,,capex,2027,0.0
CL-001,36,Other,PP,Real,2025,,capex,2027,0.0
CL-001,36,Equipment purchase,PP,Real,2025,EV,capex,2028,0.0
CL-001,36,Civil works,PP,Real,2025,Drive,capex,2028,0.0
CL-001,36,Electrical works,PP,Real,2025,Wiring,capex,2028,0.0
CL-001,36,Installation,PP,Real,2025,Gate,capex,2028,0.0
CL-001,36,Indirect costs,PP,Real,2025,,capex,2028,0.0
CL-001,36,Project management,PP,Real,2025,,capex,2028,0.0
CL-001,36,Other,PP,Real,2025,,capex,2028,0.0
CL-001,36,Equipment purchase,PP,Real,2025,EV,capex,2029,0.0
CL-001,36,Civil works,PP,Real,2025,Drive,capex,2029,0.0
CL-001,36,Electrical works,PP,Real,2025,Wiring,capex,2029,0.0
CL-001,36,Installation,PP,Real,2025,Gate,capex,2029,0.0
CL-001,36,Indirect costs,PP,Real,2025,,capex,2029,0.0
CL-001,36,Project management,PP,Real,2025,,capex,2029,0.0
CL-001,36,Other,PP,Real,2025,,capex,2029,0.0
CL-001,36,Equipment purchase,PP,Real,2025,EV,capex,2030,0.0
CL-001,36,Civil works,PP,Real,2025,Drive,capex,2030,0.0
CL-001,36,Electrical works,PP,Real,2025,Wiring,capex,2030,0.0
CL-001,36,Installation,PP,Real,2025,Gate,capex,2030,0.0
CL-001,36,Indirect costs,PP,Real,2025,,capex,2030,0.0
CL-001,36,Project management,PP,Real,2025,,capex,2030,0.0
CL-001,36,Other,PP,Real,2025,,capex,2030,0.0
CL-001,36,Equipment purchase,PP,Real,2025,EV,capex,2031,0.0
CL-001,36,Civil works,PP,Real,2025,Drive,capex,2031,0.0
CL-001,36,Electrical works,PP,Real,2025,Wiring,capex,2031,0.0
CL-001,36,Installation,PP,Real,2025,Gate,capex,2031,0.0
CL-001,36,Indirect costs,PP,Real,2025,,capex,2031,0.0
CL-001,36,Project management,PP,Real,2025,,capex,2031,0.0
CL-001,36,Other,PP,Real,2025,,capex,2031,0.0
CL-001,36,Equipment purchase,PP,Real,2025,EV,capex,2032,0.0
CL-001,36,Civil works,PP,Real,2025,Drive,capex,2032,0.0
CL-001,36,Electrical works,PP,Real,2025,Wiring,capex,2032,0.0
CL-001,36,Installation,PP,Real,2025,Gate,capex,2032,0.0
CL-001,36,Indirect costs,PP,Real,2025,,capex,2032,0.0
CL-001,36,Project management,PP,Real,2025,,capex,2032,0.0
CL-001,36,Other,PP,Real,2025,,capex,2032,0.0
CL-001,36,Equipment purchase,PP,Real,2025,EV,capex,2033,0.0
CL-001,36,Civil works,PP,Real,2025,Drive,capex,2033,0.0
CL-001,36,Electrical works,PP,Real,2025,Wiring,capex,2033,0.0
CL-001,36,Installation,PP,Real,2025,Gate,capex,2033,0.0
CL-001,36,Indirect costs,PP,Real,2025,,capex,2033,0.0
CL-001,36,Project management,PP,Real,2025,,capex,2033,0.0
CL-001,36,Other,PP,Real,2025,,capex,2033,0.0
CL-001,36,Equipment purchase,PP,Real,2025,EV,capex,2034,0.0
CL-001,36,Civil works,PP,Real,2025,Drive,capex,2034,0.0
CL-001,36,Electrical works,PP,Real,2025,Wiring,capex,2034,0.0
CL-001,36,Installation,PP,Real,2025,Gate,capex,2034,0.0
CL-001,36,Indirect costs,PP,Real,2025,,capex,2034,0.0
CL-001,36,Project management,PP,Real,2025,,capex,2034,0.0
CL-001,36,Other,PP,Real,2025,,capex,2034,0.0
CL-001,36,Equipment purchase,PP,Real,2025,EV,capex,2035,0.0
CL-001,36,Civil works,PP,Real,2025,Drive,capex,2035,0.0
CL-001,36,Electrical works,PP,Real,2025,Wiring,capex,2035,0.0
CL-001,36,Installation,PP,Real,2025,Gate,capex,2035,0.0
CL-001,36,Indirect costs,PP,Real,2025,,capex,2035,0.0
CL-001,36,Project management,PP,Real,2025,,capex,2035,0.0
CL-001,36,Other,PP,Real,2025,,capex,2035,0.0
CL-001,36,Equipment purchase,PP,Real,2025,EV,capex,2036,0.0
CL-001,36,Civil works,PP,Real,2025,Drive,capex,2036,0.0
CL-001,36,Electrical works,PP,Real,2025,Wiring,capex,2036,0.0
