ProjectId,LifeCycleMonths,Scenario,Fuel type,Units,Applicant comment,Year,Cost
CL-001,36,PP,Electricity,GJ,,2025,0.0
CL-001,36,PP,Natural Gas,GJ,,2025,0.0
CL-001,36,PP,Coal - sub bituminous,GJ,,2025,0.0
CL-001,36,PP,Coal - bituminous,GJ,,2025,0.0
CL-001,36,PP,Coal - lignite,GJ,,2025,0.0
CL-001,36,PP,Diesel,GJ,,2025,35700.0
CL-001,36,PP,LPG,GJ,,2025,0.0
CL-001,36,PP,Light fuel oil,GJ,,2025,0.0
CL-001,36,PP,Heavy fuel oil,GJ,,2025,0.0
CL-001,36,PP,Geothermal,GJ,,2025,0.0
CL-001,36,PP,Wood or wood chips,GJ,,2025,0.0
CL-001,36,PP,Electricity,GJ,,2026,10.8
CL-001,36,PP,Natural Gas,GJ,,2026,0.0
CL-001,36,PP,Coal - sub bituminous,GJ,,2026,0.0
CL-001,36,PP,Coal - bituminous,GJ,,2026,0.0
CL-001,36,PP,Coal - lignite,GJ,,2026,0.0
CL-001,36,PP,Diesel,GJ,,2026,0.0
CL-001,36,PP,LPG,GJ,,2026,0.0
CL-001,36,PP,Light fuel oil,GJ,,2026,0.0
CL-001,36,PP,Heavy fuel oil,GJ,,2026,0.0
CL-001,36,PP,Geothermal,GJ,,2026,0.0
CL-001,36,PP,Wood or wood chips,GJ,,2026,0.0
CL-001,36,PP,Electricity,GJ,,2027,10.8
CL-001,36,PP,Natural Gas,GJ,,2027,0.0
CL-001,36,PP,Coal - sub bituminous,GJ,,2027,0.0
CL-001,36,PP,Coal - bituminous,GJ,,2027,0.0
CL-001,36,PP,Coal - lignite,GJ,,2027,0.0
CL-001,36,PP,Diesel,GJ,,2027,0.0
CL-001,36,PP,LPG,GJ,,2027,0.0
CL-001,36,PP,Light fuel oil,GJ,,2027,0.0
CL-001,36,PP,Heavy fuel oil,GJ,,2027,0.0
CL-001,36,PP,Geothermal,GJ,,2027,0.0
CL-001,36,PP,Wood or wood chips,GJ,,2027,0.0
CL-001,36,PP,Electricity,GJ,,2028,10.8
CL-001,36,PP,Natural Gas,GJ,,2028,0.0
CL-001,36,PP,Coal - sub bituminous,GJ,,2028,0.0
CL-001,36,PP,Coal - bituminous,GJ,,2028,0.0
CL-001,36,PP,Coal - lignite,GJ,,2028,0.0
CL-001,36,PP,Diesel,GJ,,2028,0.0
CL-001,36,PP,LPG,GJ,,2028,0.0
CL-001,36,PP,Light fuel oil,GJ,,2028,0.0
CL-001,36,PP,Heavy fuel oil,GJ,,2028,0.0
CL-001,36,PP,Geothermal,GJ,,2028,0.0
CL-001,36,PP,Wood or wood chips,GJ,,2028,0.0
CL-001,36,PP,Electricity,GJ,,2029,10.8
CL-001,36,PP,Natural Gas,GJ,,2029,0.0
CL-001,36,PP,Coal - sub bituminous,GJ,,2029,0.0
CL-001,36,PP,Coal - bituminous,GJ,,2029,0.0
CL-001,36,PP,Coal - lignite,GJ,,2029,0.0
CL-001,36,PP,Diesel,GJ,,2029,0.0
