ProjectId,LifeCycleMonths,Opex item,Scenario,Value basis,Base year,Applicant comment,ExpenseType,Year,Cost
CL-001,36,Equipment Operation Costs,BC,Real,2025,,opex,2025,0.0
CL-001,36,"Maintenance, Repairs, Inspections",BC,Real,2025,,opex,2025,514.3742953776775
CL-001,36,Compliance Testing,BC,Real,2025,,opex,2025,0.0
CL-001,36,Optimisation,BC,Real,2025,,opex,2025,0.0
CL-001,36,Utilities and Consumables,BC,Real,2025,,opex,2025,0.0
CL-001,36,Other,BC,Real,2025,,opex,2025,0.0
CL-001,36,Equipment Operation Costs,BC,Real,2025,,opex,2026,0.0
CL-001,36,"Maintenance, Repairs, Inspections",BC,Real,2025,,opex,2026,529.1618314905645
CL-001,36,Compliance Testing,BC,Real,2025,,opex,2026,0.0
CL-001,36,Optimisation,BC,Real,2025,,opex,2026,0.0
CL-001,36,Utilities and Consumables,BC,Real,2025,,opex,2026,0.0
CL-001,36,Other,BC,Real,2025,,opex,2026,0.0
CL-001,36,Equipment Operation Costs,BC,Real,2025,,opex,2027,0.0
CL-001,36,"Maintenance, Repairs, Inspections",BC,Real,2025,,opex,2027,518.786109304475
CL-001,36,Compliance Testing,BC,Real,2025,,opex,2027,0.0
CL-001,36,Optimisation,BC,Real,2025,,opex,2027,0.0
CL-001,36,Utilities and Consumables,BC,Real,2025,,opex,2027,0.0
CL-001,36,Other,BC,Real,2025,,opex,2027,0.0
CL-001,36,Equipment Operation Costs,BC,Real,2025,,opex,2028,0.0
CL-001,36,"Maintenance, Repairs, Inspections",BC,Real,2025,,opex,2028,508.6138326514461
CL-001,36,Compliance Testing,BC,Real,2025,,opex,2028,0.0
CL-001,36,Optimisation,BC,Real,2025,,opex,2028,0.0
CL-001,36,Utilities and Consumables,BC,Real,2025,,opex,2028,0.0
CL-001,36,Other,BC,Real,2025,,opex,2028,0.0
CL-001,36,Equipment Operation Costs,BC,Real,2025,,opex,2029,0.0
CL-001,36,"Maintenance, Repairs, Inspections",BC,Real,2025,,opex,2029,498.64101240337845
CL-001,36,Compliance Testing,BC,Real,2025,,opex,2029,0.0
CL-001,36,Optimisation,BC,Real,2025,,opex,2029,0.0
CL-001,36,Utilities and Consumables,BC,Real,2025,,opex,2029,0.0
CL-001,36,Other,BC,Real,2025,,opex,2029,0.0
CL-001,36,Equipment Operation Costs,BC,Real,2025,,opex,2030,0.0
CL-001,36,"Maintenance, Repairs, Inspections",BC,Real,2025,,opex,2030,488.8637376503711
CL-001,36,Compliance Testing,BC,Real,2025,,opex,2030,0.0
CL-001,36,Optimisation,BC,Real,2025,,opex,2030,0.0
CL-001,36,Utilities and Consumables,BC,Real,2025,,opex,2030,0.0
CL-001,36,Other,BC,Real,2025,,opex,2030,0.0
CL-001,36,Equipment Operation Costs,BC,Real,2025,,opex,2031,0.0
CL-001,36,"Maintenance, Repairs, Inspections",BC,Real,2025,,opex,2031,479.2781741670305
CL-001,36,Compliance Testing,BC,Real,2025,,opex,2031,0.0
CL-001,36,Optimisation,BC,Real,2025,,opex,2031,0.0
CL-001,36,Utilities and Consumables,BC,Real,2025,,opex,2031,0.0
CL-001,36,Other,BC,Real,2025,,opex,2031,0.0
CL-001,36,Equipment Operation Costs,BC,Real,2025,,opex,2032,0.0
CL-001,36,"Maintenance, Repairs, Inspections",BC,Real,2025,,opex,2032,469.88056290885345
CL-001,36,Compliance Testing,BC,Real,2025,,opex,2032,0.0
CL-001,36,Optimisation,BC,Real,2025,,opex,2032,0.0
CL-001,36,Utilities and Consumables,BC,Real,2025,,opex,2032,0.0
CL-001,36,Other,BC,Real,2025,,opex,2032,0.0
CL-001,36,Equipment Operation Costs,BC,Real,2025,,opex,2033,0.0
CL-001,36,"Maintenance, Repairs, Inspections",BC,Real,2025,,opex,2033,0.0
CL-001,36,Compliance Testing,BC,Real,2025,,opex,2033,0.0
CL-001,36,Optimisation,BC,Real,2025,,opex,2033,0.0
CL-001,36,Utilities and Consumables,BC,Real,2025,,opex,2033,0.0
CL-001,36,Other,BC,Real,2025,,opex,2033,0.0
CL-001,36,Equipment Operation Costs,BC,Real,2025,,opex,2034,0.0
CL-001,36,"Maintenance, Repairs, Inspections",BC,Real,2025,,opex,2034,0.0
CL-001,36,Compliance Testing,BC,Real,2025,,opex,2034,0.0
CL-001,36,Optimisation,BC,Real,2025,,opex,2034,0.0
CL-001,36,Utilities and Consumables,BC,Real,2025,,opex,2034,0.0
CL-001,36,Other,BC,Real,2025,,opex,2034,0.0
CL-001,36,Equipment Operation Costs,BC,Real,2025,,opex,2035,0.0
CL-001,36,"Maintenance, Repairs, Inspections",BC,Real,2025,,opex,2035,0.0
CL-001,36,Compliance Testing,BC,Real,2025,,opex,2035,0.0
CL-001,36,Optimisation,BC,Real,2025,,opex,2035,0.0
CL-001,36,Utilities and Consumables,BC,Real,2025,,opex,2035,0.0
CL-001,36,Other,BC,Real,2025,,opex,2035,0.0
CL-001,36,Equipment Operation Costs,BC,Real,2025,,opex,2036,0.0
CL-001,36,"Maintenance, Repairs, Inspections",BC,Real,2025,,opex,2036,0.0
CL-001,36,Compliance Testing,BC,Real,2025,,opex,2036,0.0
CL-001,36,Optimisation,BC,Real,2025,,opex,2036,0.0
CL-001,36,Utilities and Consumables,BC,Real,2025,,opex,2036,0.0
