Opex item,Value basis,Base year,Applicant comment,ProjectId,LifeCycleMonths,Scenario,ExpenseType,Year,Cost
Equipment Operation Costs,Real,2025,,CL-001,36,PP,opex,2025,0.0
"Maintenance, Repairs, Inspections",Real,2025,,CL-001,36,PP,opex,2025,0.0
Compliance Testing,Real,2025,,CL-001,36,PP,opex,2025,0.0
Optimisation,Real,2025,,CL-001,36,PP,opex,2025,0.0
Utilities and Consumables,Real,2025,,CL-001,36,PP,opex,2025,0.0
Other,Real,2025,,CL-001,36,PP,opex,2025,0.0
Equipment Operation Costs,Real,2025,,CL-001,36,PP,opex,2026,0.0
"Maintenance, Repairs, Inspections",Real,2025,,CL-001,36,PP,opex,2026,0.0
Compliance Testing,Real,2025,,CL-001,36,PP,opex,2026,5291.618314905645
Optimisation,Real,2025,,CL-001,36,PP,opex,2026,0.0
Utilities and Consumables,Real,2025,,CL-001,36,PP,opex,2026,0.0
Other,Real,2025,,CL-001,36,PP,opex,2026,0.0
Equipment Operation Costs,Real,2025,,CL-001,36,PP,opex,2027,0.0
"Maintenance, Repairs, Inspections",Real,2025,,CL-001,36,PP,opex,2027,0.0
Compliance Testing,Real,2025,,CL-001,36,PP,opex,2027,0.0
Optimisation,Real,2025,,CL-001,36,PP,opex,2027,0.0
Utilities and Consumables,Real,2025,,CL-001,36,PP,opex,2027,0.0
Other,Real,2025,,CL-001,36,PP,opex,2027,0.0
Equipment Operation Costs,Real,2025,,CL-001,36,PP,opex,2028,0.0
"Maintenance, Repairs, Inspections",Real,2025,,CL-001,36,PP,opex,2028,0.0
Compliance Testing,Real,2025,,CL-001,36,PP,opex,2028,0.0
Optimisation,Real,2025,,CL-001,36,PP,opex,2028,0.0
Utilities and Consumables,Real,2025,,CL-001,36,PP,opex,2028,0.0
Other,Real,2025,,CL-001,36,PP,opex,2028,0.0
Equipment Operation Costs,Real,2025,,CL-001,36,PP,opex,2029,0.0
"Maintenance, Repairs, Inspections",Real,2025,,CL-001,36,PP,opex,2029,0.0
Compliance Testing,Real,2025,,CL-001,36,PP,opex,2029,0.0
Optimisation,Real,2025,,CL-001,36,PP,opex,2029,0.0
Utilities and Consumables,Real,2025,,CL-001,36,PP,opex,2029,0.0
Other,Real,2025,,CL-001,36,PP,opex,2029,0.0
Equipment Operation Costs,Real,2025,,CL-001,36,PP,opex,2030,0.0
"Maintenance, Repairs, Inspections",Real,2025,,CL-001,36,PP,opex,2030,0.0
Compliance Testing,Real,2025,,CL-001,36,PP,opex,2030,0.0
Optimisation,Real,2025,,CL-001,36,PP,opex,2030,0.0
Utilities and Consumables,Real,2025,,CL-001,36,PP,opex,2030,0.0
Other,Real,2025,,CL-001,36,PP,opex,2030,0.0
Equipment Operation Costs,Real,2025,,CL-001,36,PP,opex,2031,0.0
"Maintenance, Repairs, Inspections",Real,2025,,CL-001,36,PP,opex,2031,0.0
Compliance Testing,Real,2025,,CL-001,36,PP,opex,2031,0.0
Optimisation,Real,2025,,CL-001,36,PP,opex,2031,0.0
Utilities and Consumables,Real,2025,,CL-001,36,PP,opex,2031,0.0
Other,Real,2025,,CL-001,36,PP,opex,2031,0.0
Equipment Operation Costs,Real,2025,,CL-001,36,PP,opex,2032,0.0
"Maintenance, Repairs, Inspections",Real,2025,,CL-001,36,PP,opex,2032,0.0
Compliance Testing,Real,2025,,CL-001,36,PP,opex,2032,0.0
Optimisation,Real,2025,,CL-001,36,PP,opex,2032,0.0
Utilities and Consumables,Real,2025,,CL-001,36,PP,opex,2032,0.0
