Field,Value,Notes
Occasion,36 months,
ProjectID,CL-001,For EECA use only
Applicant's name,Will,
Sector,Mining,
Region,Wellington,
Name for proposed project,CLAT-test,
Date of application submission (dd/mm/yy),2025-03-10 00:00:00,
First year of expenditure (yyyy),2026,
Expected commissioning date of proposed project (dd/mm/yy),2026-12-06 00:00:00,
Analysis year - this should be the current year,2025,
,,
Project type,Early replacement of asset,
Expected final year of operation/use of existing asset if not replaced early,2030,
"If not a retrofit, what is the expected economic or useful life of the new investment?",10,Final year = 2036
"Without the loan, what would the existing asset be replaced with at the end of its life?",The same as the current asset,
What would be the expected life of the replacement asset in the base case (no loan),10,Final year = 2036
,,
Does the project replace the use of coal for industrial process heat?,No,
"If this project replaces coal consumption for industrial process heat, does the project bring forward the time of replacement from the start of 2037?",No,
Is this a heat pump project?,Yes,
,,
What level of loan contribution are you requesting? ($),100000,
Start date? (dd/mm/yyyy),2026-01-01 00:00:00,
How long would the loan be for? (years),8,Full repayment by 2034
What is your hurdle rate for this investment (%),0.2,
What basis is used for the hurdle rate?,Pre-tax Nominal,
Is the hurdle rate for the return on equity only or for the whole investment,Return on Whole Investment,
